COMPANY,EXPERIENCE,LOCATION,TITLE,SALARY,SKILLS,CATEGORY
UPL,10+ yrs,Hyderabad,Software Engineer,3900000.0,C,Languages
Walmart,10+ yrs,Delhi-NCR,Software Engineer,4600000.0,Azure,Cloud
SAP India Pvt.Ltd,10+ yrs,Mumbai,Software Engineer,3400000.0,Azure,Cloud
UPL,10+ yrs,Pune,Data Analyst,4000000.0,Python,Languages
Walmart,10+ yrs,Delhi-NCR,Data Analyst,3200000.0,Python,Languages
Walmart,10+ yrs,Chennai,Data Analyst,4300000.0,Python,Languages
Walmart,10+ yrs,Ahmedabad,Data Analyst,4100000.0,SQL,Languages
UPL,10+ yrs,Mumbai,Data Analyst,4000000.0,Python,Languages
Ericsson,10+ yrs,Bangalore,Data Analyst,4100000.0,Python,Languages
Geakminds Technologies Private Limited,10+ yrs,Bangalore,Software Engineer,4400000.0,Azure,Cloud
Global Employees,10+ yrs,Chennai,Software Engineer,4900000.0,Java,Languages
Tredence Analytics Solutions Private Limited,10+ yrs,Hyderabad,Software Engineer,3500000.0,Azure,Cloud
Target,10+ yrs,Bangalore,DevOps Engineer,3300000.0,Oracle,Cloud
Northface Consultancy Services Private Limited,10+ yrs,Bangalore,DevOps Engineer,3100000.0,Prometheus,Tools
referral,10+ yrs,Bangalore,DevOps Engineer,3400000.0,Python,Languages
Micello India Pvt Ltd,10+ yrs,Chandigarh,DevOps Engineer,2900000.0,Prometheus,Tools
Flipkart,10+ yrs,Chandigarh,Data Scientist,4500000.0,Flask,Frameworks
Flipkart,10+ yrs,Ahmedabad,Data Scientist,3600000.0,Flask,Frameworks
Tesco,10+ yrs,Delhi-NCR,Data Scientist,4100000.0,Oracle,Cloud
IGT India,10+ yrs,Bangalore,Data Scientist,3600000.0,Flask,Frameworks
Pfizer,10+ yrs,Mumbai,Data Scientist,4300000.0,R,Languages
eClerx,10+ yrs,Chennai,Data Scientist,3100000.0,Spark,Tools
Eli Lilly and Company,10+ yrs,Delhi-NCR,Data Scientist,4500000.0,Flask,Frameworks
Revnomix Solutions LLP,10+ yrs,Bangalore,Data Analyst,3300000.0,SQL,Languages
novo,10+ yrs,Mumbai,Data Analyst,4400000.0,SQL,Languages
Sejal Consulting Hub,10+ yrs,Hyderabad,Data Analyst,3900000.0,Excel,Tools
Accenture,10+ yrs,Chennai,Data Analyst,3800000.0,R,Languages
Pfizer,10+ yrs,Hyderabad,Data Scientist,4200000.0,Spark,Tools
Michelin,10+ yrs,Bangalore,Data Scientist,3400000.0,Flask,Frameworks
eClerx,10+ yrs,Mumbai,Data Scientist,3100000.0,Flask,Frameworks
MNR Solutions Pvt. Ltd.,10+ yrs,Pune,Data Analyst,3400000.0,Python,Languages
Teq Analytics,10+ yrs,Delhi-NCR,Data Analyst,3900000.0,Python,Languages
String Bio,10+ yrs,Hyderabad,Data Analyst,4500000.0,SQL,Languages
Target,10+ yrs,Bangalore,Software Engineer,3300000.0,Azure,Cloud
Tesco Bengaluru,10+ yrs,Chandigarh,Software Engineer,4500000.0,Azure,Cloud
Sportism,10+ yrs,Coimbatore,Software Engineer,3500000.0,Node.js,Frameworks
Connexions,10+ yrs,Chandigarh,Software Engineer,4600000.0,Azure,Cloud
Pfizer,10+ yrs,Pune,Software Engineer,3100000.0,Azure,Cloud
IBM,10+ yrs,Pune,Software Engineer,3200000.0,C,Languages
Barclays Shared Services (BSS),10+ yrs,Mumbai,Software Engineer,3800000.0,Azure,Cloud
UPL,10+ yrs,Bangalore,Software Engineer,4000000.0,Azure,Cloud
Genpact,10+ yrs,Bangalore,Software Engineer,3300000.0,Azure,Cloud
IBM,10+ yrs,Chandigarh,Software Engineer,4600000.0,Azure,Cloud
IBM,10+ yrs,Delhi-NCR,Software Engineer,3200000.0,Azure,Cloud
INOVARTECH PRIVATE LIMITED,10+ yrs,Chennai,Software Engineer,3000000.0,Azure,Cloud
SKILLVENTORY,10+ yrs,Chennai,Software Engineer,3800000.0,Azure,Cloud
Walmart,10+ yrs,Delhi-NCR,Software Engineer,4100000.0,Azure,Cloud
IBM,10+ yrs,Delhi-NCR,Software Engineer,4300000.0,Azure,Cloud
Tesco,10+ yrs,Bangalore,Software Engineer,3200000.0,Oracle,Cloud
Mavenir,10+ yrs,Bangalore,Software Engineer,3900000.0,Java,Languages
Aaum Research and Analytics Private Limited,10+ yrs,Pune,Software Engineer,3700000.0,C,Languages
Applied Materials,10+ yrs,Hyderabad,Data Analyst,3900000.0,Excel,Tools
Deutsche Bank,10+ yrs,Mumbai,Data Analyst,3600000.0,Oracle,Cloud
CarbyneTech India,10+ yrs,Delhi-NCR,Data Analyst,3400000.0,AWS,Cloud
Vasta Bio-informatics Pvt ltd,10+ yrs,Hyderabad,Data Analyst,3300000.0,Python,Languages
Huquo Consulting Pvt. Ltd,10+ yrs,Hyderabad,Data Analyst,4200000.0,Python,Languages
AVTAR Career Creators,10+ yrs,Bangalore,Data Analyst,3800000.0,Python,Languages
