COMPANY,EXPERIENCE,LOCATION,TITLE,SALARY,SKILLS
UPL,10+ yrs,Hyderabad,Software Engineer,3855550,C
Walmart,10+ yrs,Bengaluru,Software Engineer,4589147,Azure
SAP India Pvt.Ltd,10+ yrs,Bengaluru,Software Engineer,3439427,Azure
UPL,10+ yrs,Bengaluru,Data Analyst,3962604,Python
Walmart,10+ yrs,Bengaluru,Data Analyst,3213431,Python
Walmart,10+ yrs,Bengaluru,Data Analyst,4331478,Python
Walmart,10+ yrs,Delhi,Data Analyst,4067686,SQL
UPL,10+ yrs,Bengaluru,Data Analyst,4028617,Python
Ericsson,10+ yrs,Mumbai,Data Analyst,4067140,Python
Geakminds Technologies Private Limited,10+ yrs,Mumbai,Software Engineer,4356634,Azure
Global Employees,10+ yrs,Pune,Software Engineer,4861615,Java
Tredence Analytics Solutions Private Limited,10+ yrs,Chennai,Software Engineer,3472924,Azure
Target,10+ yrs,Delhi,DevOps Engineer,3331155,Oracle
Northface Consultancy Services Private Limited,10+ yrs,Bengaluru,DevOps Engineer,3084437,Prometheus
referral,10+ yrs,Bengaluru,DevOps Engineer,3353471,Python
Micello India Pvt Ltd,10+ yrs,Chennai,DevOps Engineer,2901705,Prometheus
Flipkart,10+ yrs,Delhi,Data Scientist,4451666,Flask
Flipkart,10+ yrs,Bengaluru,Data Scientist,3569103,Flask
Tesco,10+ yrs,Bengaluru,Data Scientist,4140969,Oracle
IGT India,10+ yrs,Hyderabad,Data Scientist,3639557,Flask
Pfizer,10+ yrs,Chennai,Data Scientist,4271796,R
eClerx,10+ yrs,Mumbai,Data Scientist,3068319,Spark
Eli Lilly and Company,10+ yrs,Bengaluru,Data Scientist,4469035,Flask
Revnomix Solutions LLP,10+ yrs,Mumbai,Data Analyst,3253139,SQL
novo,10+ yrs,Delhi,Data Analyst,4366884,SQL
Sejal Consulting Hub,10+ yrs,Bengaluru,Data Analyst,3947176,Excel
Accenture,10+ yrs,Bengaluru,Data Analyst,3840070,R
Pfizer,10+ yrs,Mumbai,Data Scientist,4212378,Spark
Michelin,10+ yrs,Mumbai,Data Scientist,3379578,Flask
eClerx,10+ yrs,Bengaluru,Data Scientist,3132800,Flask
MNR Solutions Pvt. Ltd.,10+ yrs,Bengaluru,Data Analyst,3449953,Python
Teq Analytics,10+ yrs,Hyderabad,Data Analyst,3929088,Python
String Bio,10+ yrs,Hyderabad,Data Analyst,4478697,SQL
Target,10+ yrs,Hyderabad,Software Engineer,3259084,Azure
Tesco Bengaluru,10+ yrs,Bengaluru,Software Engineer,4502904,Azure
Sportism,10+ yrs,Delhi,Software Engineer,3543819,Node.js
Connexions,10+ yrs,Gurgaon,Software Engineer,4630285,Azure
Pfizer,10+ yrs,Bengaluru,Software Engineer,3085722,Azure
IBM,10+ yrs,Bengaluru,Software Engineer,3163152,C
Barclays Shared Services (BSS),10+ yrs,Noida,Software Engineer,3786366,Azure
UPL,10+ yrs,Chennai,Software Engineer,4011709,Azure
Genpact,10+ yrs,Chennai,Software Engineer,3304442,Azure
IBM,10+ yrs,Bengaluru,Software Engineer,4589283,Azure
IBM,10+ yrs,Hyderabad,Software Engineer,3173910,Azure
INOVARTECH PRIVATE LIMITED,10+ yrs,Hyderabad,Software Engineer,3028291,Azure
SKILLVENTORY,10+ yrs,Bengaluru,Software Engineer,3840118,Azure
Walmart,10+ yrs,Bengaluru,Software Engineer,4065794,Azure
IBM,10+ yrs,Bengaluru,Software Engineer,4282340,Azure
Tesco,10+ yrs,Chennai,Software Engineer,3207698,Oracle
Mavenir,10+ yrs,Delhi,Software Engineer,3903623,Java
Aaum Research and Analytics Private Limited,10+ yrs,Delhi,Software Engineer,3711600,C
Applied Materials,10+ yrs,Delhi,Data Analyst,3893363,Excel
Deutsche Bank,10+ yrs,Bengaluru,Data Analyst,3634030,Oracle
CarbyneTech India,10+ yrs,Bengaluru,Data Analyst,3412990,AWS
Vasta Bio-informatics Pvt ltd,10+ yrs,Delhi,Data Analyst,3261489,Python
